game_point_id,game_id,game,round,phase,season_code,number_of_play,team,player_id,player,action_id,action,points,coord_x,coord_y,zone,fastbreak,second_chance,points_off_turnover,minute,console,points_a,points_b,timestamp
2007_001_365,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,365,BAS,PAFP,PLANINIC_ ZORAN,2FGM,Two Pointer,2,-28,33,D,None,None,None,23,07:00,60,50,1970-01-01
2007_001_367,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,367,OLY,P000126,JACKSON_ MARC,2FGA,Missed Two Pointer,0,-53,107,D,None,None,None,24,06:00,60,50,1970-01-01
2007_001_369,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,369,BAS,PJTT,MCDONALD_ WILL,2FGM,Two Pointer,2,-33,51,D,None,None,None,24,06:00,60,52,1970-01-01
2007_001_376,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,376,OLY,P000126,JACKSON_ MARC,2FGM,Two Pointer,2,261,428,H,None,None,None,25,05:00,62,52,1970-01-01
2007_001_379,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,379,OLY,P000126,JACKSON_ MARC,FTM,Free Throw In,1,-1,-1,,None,None,None,25,05:00,63,52,1970-01-01
2007_001_380,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,380,BAS,PAFP,PLANINIC_ ZORAN,3FGM,Three Pointer,3,-264,620,J,None,None,None,25,05:00,63,55,1970-01-01
2007_001_382,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,382,OLY,PAQU,BOUROUSIS_ IOANNIS,3FGA,Missed Three Pointer,0,-666,146,F,None,None,None,25,05:00,63,55,1970-01-01
2007_001_386,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,386,BAS,PJZJ,TELETOVIC_ MIRZA,FTM,Free Throw In,1,-1,-1,,None,None,None,25,05:00,63,56,1970-01-01
2007_001_387,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,387,BAS,PJZJ,TELETOVIC_ MIRZA,FTM,Free Throw In,1,-1,-1,,None,None,None,25,05:00,63,57,1970-01-01
2007_001_392,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,392,OLY,PTFV,WOODS_ QYNTEL,2FGA,Missed Two Pointer,0,-276,464,I,None,None,None,25,05:00,63,57,1970-01-01
2007_001_396,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,396,BAS,PCBX,PRIGIONI_ PABLO,FTM,Free Throw In,1,-1,-1,,None,None,None,25,05:00,63,58,1970-01-01
2007_001_397,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,397,BAS,PCBX,PRIGIONI_ PABLO,FTM,Free Throw In,1,-1,-1,,None,None,None,25,05:00,63,59,1970-01-01
2007_001_402,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,402,OLY,PCRR,GREER_ LYNN TERENCE,3FGA,Missed Three Pointer,0,107,664,G,None,None,None,26,04:00,63,59,1970-01-01
2007_001_404,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,404,BAS,PAFP,PLANINIC_ ZORAN,3FGM,Three Pointer,3,317,594,G,None,None,None,26,04:00,63,62,1970-01-01
2007_001_406,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,406,OLY,PAMM,PRINTEZIS_ GEORGIOS,2FGM,Two Pointer,2,5,51,C,None,None,None,27,03:00,65,62,1970-01-01
2007_001_408,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,408,BAS,PAFP,PLANINIC_ ZORAN,3FGA,Missed Three Pointer,0,-453,571,J,None,None,None,27,03:00,65,62,1970-01-01
2007_001_412,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,412,OLY,PAMM,PRINTEZIS_ GEORGIOS,2FGA,Missed Two Pointer,0,0,-7,D,None,None,None,27,03:00,65,62,1970-01-01
2007_001_418,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,418,BAS,PAJK,VIDAL_ SERGI,FTM,Free Throw In,1,-1,-1,,None,None,None,27,03:00,65,63,1970-01-01
2007_001_420,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,420,OLY,PTFV,WOODS_ QYNTEL,2FGA,Missed Two Pointer,0,-2,323,D,None,None,None,28,02:00,65,63,1970-01-01
2007_001_422,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,422,BAS,PJZJ,TELETOVIC_ MIRZA,3FGA,Missed Three Pointer,0,679,71,A,None,None,None,28,02:00,65,63,1970-01-01
2007_001_424,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,424,OLY,PAMM,PRINTEZIS_ GEORGIOS,2FGA,Missed Two Pointer,0,58,161,C,None,None,None,28,02:00,65,63,1970-01-01
